code,phase,iteration,debug_corrected,Delta,accepted,rejected,rejected_reason,theta_k,phi_k,type
S0,restoration,0,,1.0,,,,0.0,,no-step-converged
S0,oil_maximization,0,,1.0,,,,4.126517713254541,-117.1128576967313,init
S0,oil_maximization,0,,1.8,True,,,4.126517713254541,-117.1128576967313,f-type
S0,oil_maximization,1,,3.24,True,,,0.6570286443327886,-121.07931907155103,theta-type
S0,oil_maximization,2,,5.832000000000001,True,,,0.10559889908900312,-121.08341244188458,f-type
S0,oil_maximization,3,True,5.832000000000001,,True,Filter rejection,0.23357651363245574,-121.06846565453527,
S0,oil_maximization,4,True,5.248800000000001,,True,Filter rejection,0.23357651363231702,-121.06846565453533,
S0,oil_maximization,5,True,4.7239200000000015,,True,Filter rejection,0.23357651363224657,-121.06846565453532,
S0,oil_maximization,6,True,4.251528000000001,,True,Filter rejection,0.23357651363215537,-121.06846565453536,
S0,oil_maximization,7,True,3.826375200000001,,True,Filter rejection,0.23357651363213056,-121.06846565453537,
S0,oil_maximization,8,True,3.4437376800000012,,True,Filter rejection,0.2335765136319282,-121.06846565453539,
S0,oil_maximization,9,True,3.099363912000001,,True,Filter rejection,0.23357651363174972,-121.06846565453543,
S0,oil_maximization,10,True,2.7894275208000012,,True,Filter rejection,0.23357651363150658,-121.0684656545355,
S0,oil_maximization,11,True,2.5104847687200014,,True,Filter rejection,0.23357651363123397,-121.06846565453554,
S0,oil_maximization,12,True,2.2594362918480013,,True,Filter rejection,0.2335765136309403,-121.06846565453554,
S0,oil_maximization,13,True,2.033492662663201,,True,Filter rejection,0.23357651363049886,-121.06846565453564,
S0,oil_maximization,14,True,1.830143396396881,,True,Filter rejection,0.23357651362997572,-121.06846565453577,
S0,oil_maximization,15,True,1.6471290567571928,,True,Filter rejection,0.23357651362929704,-121.06846565453587,
S0,oil_maximization,16,True,1.4824161510814735,,True,Filter rejection,0.23357651362847992,-121.06846565453598,
S0,oil_maximization,17,True,1.3341745359733261,,True,Filter rejection,0.23357651362741844,-121.06846565453614,
S0,oil_maximization,18,True,1.2007570823759937,,True,Filter rejection,0.23357651362622897,-121.06846565453631,
S0,oil_maximization,19,True,1.0806813741383943,,True,Filter rejection,0.23357651362465714,-121.06846565453664,
S0,oil_maximization,20,True,0.9726132367245549,,True,Filter rejection,0.2335765136227115,-121.06846565453694,
S0,oil_maximization,21,True,0.8753519130520995,,True,Filter rejection,0.23357651362020496,-121.06846565453733,
S0,oil_maximization,22,True,0.7878167217468895,,True,Filter rejection,0.23357651361723047,-121.06846565453787,
